NO ADHERENT;NOM;PRENOM;DATE NAISSANCE;SEXE;CATEGORIE LICENCE;DATE DE SAISIE;CATEGORIE AGE
100;Hebert;Etienne;08/02/1962;H;A;01/09/2012;S
103;Guedry;Alexandre;02/06/1987;H;A;03/11/2012;S
118;Chicoine;Raina;17/07/1991;F;A;03/11/2012;S-23
119;Boisvert;Jeanne;05/12/1997;F;A;03/11/2012;J16
120;Gougeon;Jay;05/09/1999;H;A;04/12/2012;J14
121;Marier;Zerbino;07/02/2001;H;A;07/12/2012;J12
123;Dupont;Marie;27/06/1987;F;A;12/12/2012;S
124;Gnat;Henri;14/06/1967;H;A;12/12/2012;S
125;Truchon;Andre;12/08/1964;H;A;12/12/2012;S
126;Garcia;Gaelle;24/07/1978;F;A;12/12/2012;S
127;Matisse;Michel;18/03/1954;H;A;12/12/2012;S
128;Dupuy;Patience;18/04/1996;F;A;09/12/2012;J17
104;Gendron;Ignace;22/11/1975;H;A;17/12/2012;S
117;Hughes;Auda;25/08/1969;F;I;04/01/2013;S
107;Cailot;Vignette;15/02/2001;F;A;03/03/2013;J12
108;Truchon;Emmanuelle;05/09/1965;F;A;03/03/2013;S
109;Duplanty;Desire;07/02/2001;H;A;03/04/2013;J12
110;Chauvet;Leroy;01/10/2002;H;A;03/05/2013;J11
111;Bilodeau;Virginie;08/04/2002;F;U;03/06/2013 ;J14
113;Mouet;Fifi;26/04/1994;F;A;03/07/2013;J18
114;Labont�;Fitz;19/04/1995;H;U;03/07/2013;J17
115;Poissonnier;Matthieu;09/11/1992;H;A;03/07/2013;S-23
116;Victoire;Bouchez;09/03/1996;F;A;03/07/2013;J16
