NO ADHERENT;NOM;PRENOM;DATE NAISSANCE;SEXE;CATEGORIE LICENCE;DATE DE SAISIE;CATEGORIE AGE
100;Hebert;Etienne;08/02/1962;H;A;01/09/2010;S
101;Nadeau;Adrien;03/11/1947;H;A;02/09/2010;S
103;Guedry;Alexandre;02/06/1987;H;A;02/09/2010;S
104;Gendron;Ignace;22/11/1975;H;A;03/10/2010;S
106;Vaillancourt;Merlin;05/01/2002;H;A;06/12/2010;J9
107;Cailot;Vignette;15/02/2001;F;A;03/01/2011;J10
108;Truchon;Emmanuelle;05/09/1965;F;A;03/02/2011;S
109;Duplanty;Desire;07/02/2001;H;D7;03/04/2011;J10
110;Chauvet;Leroy;01/10/2002;H;U;03/05/2011;J9
112;Emond;Tristan;12/06/2001;H;I;03/06/2011;J10
113;Mouet;Fifi;26/04/1994;F;D90;03/07/2011;J16
114;Labonté;Fitz;19/04/1995;H;U;03/07/2011;J15
115;Poissonnier;Matthieu;09/11/1992;H;A;03/07/2011;S-23
116;Victoire;Bouchez;09/03/1996;F;A;03/07/2011;J14
